Name,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26
Weedle,Start - Poison Sting,Start - String Shot,L9 - Bug Bite,ORAS - Bug Bite,ORAS - Electroweb,,,,,,,,,,,,,,,,,,,,,
Kakuna,Start - Harden,ORAS - Bug Bite,ORAS - Iron Defense,ORAS - Electroweb,Prev - Poison Sting,Prev - String Shot,Prev - Bug Bite,,,,,,,,,,,,,,,,,,,
Beedrill,Start - Twineedle,Start - Fury Attack,L11 - Fury Attack,L14 - Rage,L17 - Pursuit,L20 - Focus Energy,L23 - Venoshock,L26 - Assurance,L29 - Toxic Spikes,L32 - Pin Missile,L35 - Poison Jab,L38 - Agility,L41 - Endeavor,L44 - Fell Stinger,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM31 - Brick Break,TM32 - Double Team
Beedrill,Start - Twineedle,Start - Fury Attack,L11 - Fury Attack,L14 - Rage,L17 - Pursuit,L20 - Focus Energy,L23 - Venoshock,L26 - Assurance,L29 - Toxic Spikes,L32 - Pin Missile,L35 - Poison Jab,L38 - Agility,L41 - Endeavor,L44 - Fell Stinger,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM31 - Brick Break,TM32 - Double Team
Pidgey,Start - Tackle,L5 - Sand Attack,L9 - Gust,L13 - Quick Attack,L17 - Whirlwind,L21 - Twister,L25 - Feather Dance,L29 - Agility,L33 - Wing Attack,L37 - Roost,L41 - Tailwind,L45 - Mirror Move,L49 - Air Slash,L53 - Hurricane,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM21 - Frustration,TM27 - Return,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade
Pidgeotto,Start - Tackle,Start - Sand Attack,Start - Gust,L5 - Sand Attack,L9 - Gust,L13 - Quick Attack,L17 - Whirlwind,L22 - Twister,L27 - Feather Dance,L32 - Agility,L37 - Wing Attack,L42 - Roost,L47 - Tailwind,L52 - Mirror Move,L57 - Air Slash,L62 - Hurricane,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM21 - Frustration,TM27 - Return,TM32 - Double Team
Pidgeot,Start - Hurricane,Start - Tackle,Start - Sand Attack,Start - Gust,Start - Quick Attack,L5 - Sand Attack,L9 - Gust,L13 - Quick Attack,L17 - Whirlwind,L22 - Twister,L27 - Feather Dance,L32 - Agility,L38 - Wing Attack,L44 - Roost,L50 - Tailwind,L56 - Mirror Move,L62 - Air Slash,L68 - Hurricane,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost
Pidgeot,Start - Hurricane,Start - Tackle,Start - Sand Attack,Start - Gust,Start - Quick Attack,L5 - Sand Attack,L9 - Gust,L13 - Quick Attack,L17 - Whirlwind,L22 - Twister,L27 - Feather Dance,L32 - Agility,L38 - Wing Attack,L44 - Roost,L50 - Tailwind,L56 - Mirror Move,L62 - Air Slash,L68 - Hurricane,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost
Rattata,Start - Tackle,Start - Tail Whip,L4 - Quick Attack,L7 - Focus Energy,L10 - Bite,L13 - Pursuit,L16 - Hyper Fang,L19 - Assurance,L22 - Crunch,L25 - Sucker Punch,L28 - Super Fang,L31 - Double-Edge,L34 - Endeavor,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return
Rattata,Start - Tackle,Start - Tail Whip,L4 - Quick Attack,L7 - Focus Energy,L10 - Bite,L13 - Pursuit,L16 - Hyper Fang,L19 - Assurance,L22 - Crunch,L25 - Sucker Punch,L28 - Super Fang,L31 - Double-Edge,L34 - Endeavor,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM36 - Sludge Bomb
Raticate,Start - Scary Face,Start - Swords Dance,Start - Tackle,Start - Tail Whip,Start - Quick Attack,Start - Focus Energy,L4 - Quick Attack,L7 - Focus Energy,L10 - Bite,L13 - Pursuit,L16 - Hyper Fang,L19 - Assurance,L24 - Crunch,L29 - Sucker Punch,L34 - Super Fang,L39 - Double-Edge,L44 - Endeavor,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Raticate,Start - Scary Face,Start - Swords Dance,Start - Tackle,Start - Tail Whip,Start - Quick Attack,Start - Focus Energy,L4 - Quick Attack,L7 - Focus Energy,L10 - Bite,L13 - Pursuit,L16 - Hyper Fang,L19 - Assurance,L24 - Crunch,L29 - Sucker Punch,L34 - Super Fang,L39 - Double-Edge,L44 - Endeavor,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard
Raticate,Start - Scary Face,Start - Swords Dance,Start - Tackle,Start - Tail Whip,Start - Quick Attack,Start - Focus Energy,L4 - Quick Attack,L7 - Focus Energy,L10 - Bite,L13 - Pursuit,L16 - Hyper Fang,L19 - Assurance,L24 - Crunch,L29 - Sucker Punch,L34 - Super Fang,L39 - Double-Edge,L44 - Endeavor,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard
Spearow,Start - Peck,Start - Growl,L4 - Leer,L8 - Pursuit,L11 - Fury Attack,L15 - Aerial Ace,L18 - Mirror Move,L22 - Assurance,L25 - Agility,L29 - Focus Energy,L32 - Roost,L36 - Drill Peck,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM21 - Frustration,TM27 - Return,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract
Fearow,Start - Drill Run,Start - Pluck,Start - Peck,Start - Growl,Start - Leer,Start - Pursuit,L4 - Leer,L8 - Pursuit,L11 - Fury Attack,L15 - Aerial Ace,L18 - Mirror Move,L23 - Assurance,L27 - Agility,L32 - Focus Energy,L36 - Roost,L41 - Drill Peck,L45 - Drill Run,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM21 - Frustration
Ekans,Start - Wrap,Start - Leer,L4 - Poison Sting,L9 - Bite,L12 - Glare,L17 - Screech,L20 - Acid,L25 - Stockpile,L25 - Swallow,L25 - Spit Up,L28 - Acid Spray,L33 - Mud Bomb,L36 - Gastro Acid,L38 - Belch,L41 - Haze,L44 - Coil,L49 - Gunk Shot,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return
Arbok,Start - Crunch,Start - Ice Fang,Start - Thunder Fang,Start - Fire Fang,Start - Wrap,Start - Leer,Start - Poison Sting,Start - Bite,L4 - Poison Sting,L9 - Bite,L12 - Glare,L17 - Screech,L20 - Acid,L27 - Stockpile,L27 - Swallow,L27 - Spit Up,L32 - Acid Spray,L39 - Mud Bomb,L44 - Gastro Acid,L48 - Belch,L51 - Haze,L56 - Coil,L63 - Gunk Shot,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Pikachu,Start - Tail Whip,Start - Thunder Shock,L5 - Growl,L7 - Play Nice,L10 - Quick Attack,L13 - Electro Ball,L18 - Thunder Wave,L21 - Feint,L23 - Double Team,L26 - Spark,L29 - Nuzzle,L34 - Discharge,L37 - Slam,L42 - Thunderbolt,L45 - Agility,L50 - Wild Charge,L53 - Light Screen,L58 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder
Raichu,Start - Thunder Shock,Start - Tail Whip,Start - Quick Attack,Start - Thunderbolt,TM06 - Toxic,TM10 - Hidden Power,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM49 - Echoed Voice,TM52 - Focus Blast,TM56 - Fling,TM57 - Charge Beam,TM68 - Giga Impact
Raichu,Start - Psychic,Start - Speed Swap,Start - Thunder Shock,Start - Tail Whip,Start - Quick Attack,Start - Thunderbolt,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM45 - Attract
Sandshrew,Start - Scratch,Start - Defense Curl,L3 - Sand Attack,L5 - Poison Sting,L7 - Rollout,L9 - Rapid Spin,L11 - Fury Cutter,L14 - Magnitude,L17 - Swift,L20 - Fury Swipes,L23 - Sand Tomb,L26 - Slash,L30 - Dig,L34 - Gyro Ball,L38 - Swords Dance,L42 - Sandstorm,L46 - Earthquake,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break
Sandshrew,Start - Scratch,Start - Defense Curl,L3 - Bide,L5 - Powder Snow,L7 - Ice Ball,L9 - Rapid Spin,L11 - Fury Cutter,L14 - Metal Claw,L17 - Swift,L20 - Fury Swipes,L23 - Iron Defense,L26 - Slash,L30 - Iron Head,L34 - Gyro Ball,L38 - Swords Dance,L42 - Hail,L46 - Blizzard,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM14 - Blizzard,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration
Sandslash,Start - Crush Claw,Start - Scratch,Start - Defense Curl,Start - Sand Attack,Start - Poison Sting,L3 - Sand Attack,L5 - Poison Sting,L7 - Rollout,L9 - Rapid Spin,L11 - Fury Cutter,L14 - Magnitude,L17 - Swift,L20 - Fury Swipes,L24 - Sand Tomb,L28 - Slash,L33 - Dig,L38 - Gyro Ball,L43 - Swords Dance,L48 - Sandstorm,L53 - Earthquake,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM20 - Safeguard
Sandslash,Start - Icicle Spear,Start - Metal Burst,Start - Icicle Crash,Start - Slash,Start - Defense Curl,Start - Ice Ball,Start - Metal Claw,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM28 - Leech Life,TM31 - Brick Break,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract
Nidoran♀,Start - Growl,Start - Scratch,L7 - Tail Whip,L9 - Double Kick,L13 - Poison Sting,L19 - Fury Swipes,L21 - Bite,L25 - Helping Hand,L31 - Toxic Spikes,L33 - Flatter,L37 - Crunch,L43 - Captivate,L45 - Poison Fang,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM32 - Double Team
Nidorina,Start - Growl,Start - Scratch,L7 - Tail Whip,L9 - Double Kick,L13 - Poison Sting,L20 - Fury Swipes,L23 - Bite,L28 - Helping Hand,L35 - Toxic Spikes,L38 - Flatter,L43 - Crunch,L50 - Captivate,L58 - Poison Fang,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM32 - Double Team
Nidoqueen,Start - Superpower,Start - Scratch,Start - Tail Whip,Start - Double Kick,Start - Poison Sting,L23 - Chip Away,L35 - Body Slam,L43 - Earth Power,L58 - Superpower,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM24 - Thunderbolt,TM25 - Thunder,TM26 - Earthquake,TM27 - Return
Nidoran♂,Start - Leer,Start - Peck,L7 - Focus Energy,L9 - Double Kick,L13 - Poison Sting,L19 - Fury Attack,L21 - Horn Attack,L25 - Helping Hand,L31 - Toxic Spikes,L33 - Flatter,L37 - Poison Jab,L43 - Captivate,L45 - Horn Drill,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM32 - Double Team
Nidorino,Start - Leer,Start - Peck,L7 - Focus Energy,L9 - Double Kick,L13 - Poison Sting,L20 - Fury Attack,L23 - Horn Attack,L28 - Helping Hand,L35 - Toxic Spikes,L38 - Flatter,L43 - Poison Jab,L50 - Captivate,L58 - Horn Drill,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM32 - Double Team
Nidoking,Start - Megahorn,Start - Peck,Start - Focus Energy,Start - Double Kick,Start - Poison Sting,L23 - Chip Away,L35 - Thrash,L43 - Earth Power,L58 - Megahorn,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM24 - Thunderbolt,TM25 - Thunder,TM26 - Earthquake,TM27 - Return
Clefairy,Start - Spotlight,Start - Disarming Voice,Start - Pound,Start - Growl,Start - Encore,L7 - Sing,L10 - Double Slap,L13 - Defense Curl,L16 - Follow Me,L19 - Bestow,L22 - Wake-Up Slap,L25 - Minimize,L28 - Stored Power,L31 - Metronome,L34 - Cosmic Power,L37 - Lucky Chant,L40 - Body Slam,L43 - Moonlight,L46 - Moonblast,L49 - Gravity,L50 - Meteor Mash,L55 - Healing Wish,L58 - After You,TM01 - Work Up,TM03 - Psyshock,TM04 - Calm Mind
