,ndex,species,pokemon,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
253,212,Scizor,Scizor,Start - Feint,Start - Bullet Punch,Start - Quick Attack,Start - Leer,L5 - Focus Energy,L9 - Pursuit,L13 - False Swipe,L17 - Agility,L21 - Metal Claw,L25 - Fury Cutter,L29 - Slash,L33 - Razor Wind,L37 - Iron Defense,L41 - X-Scissor,L45 - Night Slash,L49 - Double Hit,L50 - Iron Head,L57 - Swords Dance,L61 - Feint,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,16 - Light Screen,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Air Cutter,Prev - Vacuum Wave,Prev - Wing Attack,Prev - Double Team,Prev - Air Slash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
254,212,Scizor,Scizor (Mega Scizor),Start - Feint,Start - Bullet Punch,Start - Quick Attack,Start - Leer,L5 - Focus Energy,L9 - Pursuit,L13 - False Swipe,L17 - Agility,L21 - Metal Claw,L25 - Fury Cutter,L29 - Slash,L33 - Razor Wind,L37 - Iron Defense,L41 - X-Scissor,L45 - Night Slash,L49 - Double Hit,L50 - Iron Head,L57 - Swords Dance,L61 - Feint,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,16 - Light Screen,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Air Cutter,Prev - Vacuum Wave,Prev - Wing Attack,Prev - Double Team,Prev - Air Slash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
255,213,Shuckle,Shuckle,Start - Sticky Web,Start - Withdraw,Start - Constrict,Start - Bide,Start - Rollout,L5 - Encore,L9 - Wrap,L12 - Struggle Bug,L16 - Safeguard,L20 - Rest,L23 - Rock Throw,L27 - Gastro Acid,L31 - Power Trick,L34 - Shell Smash,L38 - Rock Slide,L42 - Bug Bite,L45 - Power Split,L45 - Guard Split,L49 - Stone Edge,L53 - Sticky Web,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,17 - Protect,20 - Safeguard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256,214,Heracross,Heracross,Start - Arm Thrust,Start - Bullet Seed,Start - Night Slash,Start - Tackle,Start - Leer,Start - Horn Attack,Start - Endure,L7 - Feint,L10 - Aerial Ace,L16 - Chip Away,L19 - Counter,L25 - Fury Attack,L28 - Brick Break,L31 - Pin Missile,L34 - Take Down,L37 - Megahorn,L43 - Close Combat,L46 - Reversal,01 - Work Up,06 - Toxic,08 - Bulk Up,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
257,214,Heracross,Heracross (Mega Heracross),Start - Arm Thrust,Start - Bullet Seed,Start - Night Slash,Start - Tackle,Start - Leer,Start - Horn Attack,Start - Endure,L7 - Feint,L10 - Aerial Ace,L16 - Chip Away,L19 - Counter,L25 - Fury Attack,L28 - Brick Break,L31 - Pin Missile,L34 - Take Down,L37 - Megahorn,L43 - Close Combat,L46 - Reversal,01 - Work Up,06 - Toxic,08 - Bulk Up,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
258,215,Sneasel,Sneasel,Start - Scratch,Start - Leer,Start - Taunt,L8 - Quick Attack,L10 - Feint Attack,L14 - Icy Wind,L16 - Fury Swipes,L20 - Agility,L22 - Metal Claw,L25 - Hone Claws,L28 - Beat Up,L32 - Screech,L35 - Slash,L40 - Snatch,L44 - Punishment,L47 - Ice Shard,04 - Calm Mind,06 - Toxic,07 - Hail,10 - Hidden Power,11 - Sunny Day,12 - Taunt,13 - Ice Beam,14 - Blizzard,17 - Protect,18 - Rain Dance,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Egg - Throat Chop,ORAS - Low Kick,ORAS - Ice Punch,ORAS - Foul Play,ORAS - Icy Wind,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Focus Punch,ORAS - Spite,ORAS - Snatch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
259,216,Teddiursa,Teddiursa,Start - Fling,Start - Covet,Start - Scratch,Start - Baby-Doll Eyes,Start - Lick,Start - Fake Tears,L8 - Fury Swipes,L15 - Feint Attack,L22 - Sweet Scent,L25 - Play Nice,L29 - Slash,L36 - Charm,L43 - Rest,L43 - Snore,L50 - Thrash,L57 - Fling,01 - Work Up,05 - Roar,06 - Toxic,08 - Bulk Up,10 - Hidden Power,11 - Sunny Day,12 - Taunt,17 - Protect,18 - Rain Dance,21 - Frustration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Snore,ORAS - Focus Punch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
260,217,Ursaring,Ursaring,Start - Hammer Arm,Start - Covet,Start - Scratch,Start - Leer,Start - Lick,Start - Fake Tears,L8 - Fury Swipes,L15 - Feint Attack,L22 - Sweet Scent,L25 - Play Nice,L29 - Slash,L38 - Scary Face,L47 - Rest,L49 - Snore,L58 - Thrash,L67 - Hammer Arm,01 - Work Up,05 - Roar,06 - Toxic,08 - Bulk Up,10 - Hidden Power,11 - Sunny Day,12 - Taunt,15 - Hyper Beam,17 - Protect,18 - Rain Dance,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Uproar,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Last Resort,ORAS - Superpower,ORAS - Hyper Voice,ORAS - Snore,ORAS - Focus Punch,Prev - Fling,Prev - Baby-Doll Eyes,Prev - Charm,Prev - Fling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261,218,Slugma,Slugma,Start - Yawn,Start - Smog,L6 - Ember,L8 - Rock Throw,L13 - Harden,L15 - Incinerate,L20 - Clear Smog,L22 - Ancient Power,L27 - Flame Burst,L29 - Rock Slide,L34 - Lava Plume,L36 - Amnesia,L41 - Body Slam,L43 - Recover,L48 - Flamethrower,L50 - Earth Power,06 - Toxic,10 - Hidden Power,11 - Sunny Day,16 - Light Screen,17 - Protect,21 - Frustration,27 - Return,32 - Double Team,33 - Reflect,35 - Flamethrower,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
262,219,Magcargo,Magcargo,Start - Shell Smash,Start - Earth Power,Start - Yawn,Start - Smog,Start - Ember,Start - Rock Throw,L6 - Ember,L8 - Rock Throw,L13 - Harden,L15 - Incinerate,L20 - Clear Smog,L22 - Ancient Power,L27 - Flame Burst,L29 - Rock Slide,L34 - Lava Plume,L36 - Amnesia,L43 - Body Slam,L47 - Recover,L54 - Flamethrower,L58 - Earth Power,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,16 - Light Screen,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Heat Wave,ORAS - Pain Split,ORAS - After You,ORAS - Stealth Rock,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
263,220,Swinub,Swinub,Start - Tackle,Start - Odor Sleuth,L5 - Mud Sport,L8 - Powder Snow,L11 - Mud-Slap,L14 - Endure,L18 - Mud Bomb,L21 - Icy Wind,L24 - Ice Shard,L28 - Take Down,L35 - Mist,L37 - Earthquake,L40 - Flail,L44 - Blizzard,L48 - Amnesia,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,16 - Light Screen,17 - Protect,18 - Rain Dance,21 - Frustration,26 - Earthquake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
264,221,Piloswine,Piloswine,Start - Fury Attack,Start - Ancient Power,Start - Peck,Start - Odor Sleuth,Start - Mud Sport,Start - Powder Snow,L5 - Mud Sport,L8 - Powder Snow,L11 - Mud-Slap,L14 - Endure,L18 - Mud Bomb,L21 - Icy Wind,L24 - Ice Fang,L28 - Take Down,L37 - Mist,L41 - Thrash,L46 - Earthquake,L52 - Blizzard,L58 - Amnesia,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,15 - Hyper Beam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
265,222,Corsola,Corsola,Start - Tackle,Start - Harden,L4 - Bubble,L8 - Recover,L10 - Bubble Beam,L13 - Refresh,L17 - Ancient Power,L20 - Spike Cannon,L23 - Lucky Chant,L27 - Brine,L29 - Iron Defense,L31 - Rock Blast,L35 - Endure,L38 - Aqua Ring,L41 - Power Gem,L45 - Mirror Coat,L47 - Earth Power,L50 - Flail,04 - Calm Mind,06 - Toxic,07 - Hail,10 - Hidden Power,11 - Sunny Day,13 - Ice Beam,14 - Blizzard,16 - Light Screen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Icy Wind,ORAS - Snore,ORAS - Water Pulse,ORAS - Endeavor,ORAS - Stealth Rock,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266,223,Remoraid,Remoraid,Start - Water Gun,L6 - Lock-On,L10 - Psybeam,L14 - Aurora Beam,L18 - Bubble Beam,L22 - Focus Energy,L26 - Water Pulse,L30 - Signal Beam,L34 - Ice Beam,L38 - Bullet Seed,L42 - Hydro Pump,L46 - Hyper Beam,L50 - Soak,06 - Toxic,10 - Hidden Power,11 - Sunny Day,13 - Ice Beam,14 - Blizzard,15 - Hyper Beam,17 - Protect,18 - Rain Dance,21 - Frustration,23 - Smack Down,27 - Return,29 - Psychic,32 - Double Team,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
267,224,Octillery,Octillery,Start - Octazooka,Start - Gunk Shot,Start - Rock Blast,Start - Water Gun,Start - Constrict,Start - Psybeam,Start - Aurora Beam,L6 - Constrict,L10 - Psybeam,L14 - Aurora Beam,L18 - Bubble Beam,L22 - Focus Energy,L28 - Wring Out,L34 - Signal Beam,L40 - Ice Beam,L46 - Bullet Seed,L52 - Hydro Pump,L58 - Hyper Beam,L64 - Soak,06 - Toxic,10 - Hidden Power,11 - Sunny Day,13 - Ice Beam,14 - Blizzard,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Icy Wind,ORAS - Bind,ORAS - Snore,ORAS - Water Pulse,Prev - Lock-On,Prev - Water Pulse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
268,225,Delibird,Delibird,Start - Present,L25 - Drill Peck,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,17 - Protect,18 - Rain Dance,21 - Frustration,27 - Return,31 - Brick Break,32 - Double Team,40 - Aerial Ace,42 - Facade,44 - Rest,45 - Attract,46 - Thief,48 - Round,56 - Fling,59 - Brutal Swing,70 - Aurora Veil,76 - Fly,79 - Frost Breath,87 - Swagger,88 - Sleep Talk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
269,226,Mantine,Mantine,Start - Psybeam,Start - Bullet Seed,Start - Signal Beam,Start - Roost,Start - Tackle,Start - Bubble,Start - Supersonic,Start - Bubble Beam,L3 - Supersonic,L7 - Bubble Beam,L11 - Confuse Ray,L14 - Wing Attack,L16 - Headbutt,L19 - Water Pulse,L23 - Wide Guard,L27 - Take Down,L32 - Agility,L36 - Air Slash,L39 - Aqua Ring,L46 - Bounce,L49 - Hydro Pump,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Water Pulse,ORAS - Helping Hand,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
270,227,Skarmory,Skarmory,Start - Leer,Start - Peck,L6 - Sand Attack,L9 - Metal Claw,L12 - Air Cutter,L17 - Fury Attack,L20 - Feint,L23 - Swift,L28 - Spikes,L31 - Agility,L34 - Steel Wing,L39 - Slash,L42 - Metal Sound,L45 - Air Slash,L50 - Autotomize,L53 - Night Slash,05 - Roar,06 - Toxic,10 - Hidden Power,11 - Sunny Day,12 - Taunt,17 - Protect,19 - Roost,21 - Frustration,27 - Return,32 - Double Team,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
